Fichier,Champ / identifiant,Type,Référencé depuis entrée principale,Obligatoire déclaré,Minimum,Maximum,Pas,Longueur maximale,Essai automatisé spécifique de ce lot,Recette navigateur,Scénarios préparés
app-core.html,ir,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
admin-analytics.js,hpStatsDays,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
admin-analytics.js,hpStatsEnvironment,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
admin-analytics.js,hpStatsAdmin,checkbox,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-analytics.js,hpUsageEnabled,checkbox,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
asset-payments.js,hpPaymentAmount,number,Oui,Oui,0.01,100000000,0.01,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
asset-payments.js,hpPaymentFrequency,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
asset-payments.js,hpPaymentDate,date,Oui,Oui,2000-01-01,2099-12-31,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
asset-payments.js,hpPaymentSecond,number,Oui,Non / validation programmée possible,2,31,1,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
asset-payments.js,hpPaymentEssential,checkbox,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-category-targets.js,hpTargetCategory,select,Non — ancien module,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-category-targets.js,hpTargetAmount,number,Non — ancien module,Oui,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-category-targets.js,hpTargetThreshold,select,Non — ancien module,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-debts-loans.js,hpDebtType,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-debts-loans.js,hpDebtName,input,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-debts-loans.js,hpDebtInstitution,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-debts-loans.js,hpDebtOriginal,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-debts-loans.js,hpDebtBalance,number,Oui,Oui,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-debts-loans.js,hpDebtRate,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-debts-loans.js,hpDebtPayment,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-debts-loans.js,hpDebtFrequency,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-debts-loans.js,hpDebtNext,date,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
budget-debts-loans.js,hpDebtTarget,date,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
budget-debts-loans.js,hpDebtNotes,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-mortgage.js,hpMortgageLender,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-mortgage.js,hpMortgageDate,date,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
budget-mortgage.js,hpMortgageBalance,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-mortgage.js,hpMortgageRate,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-mortgage.js,hpMortgagePayment,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-mortgage.js,hpMortgageFreq,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-mortgage.js,hpMortgageReminder,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-mortgage.js,hpMortgageNotes,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-net-worth.js,hpAssetType,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-net-worth.js,hpAssetName,input,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-net-worth.js,hpAssetValue,number,Oui,Oui,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-net-worth.js,hpAssetInstitution,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-net-worth.js,hpAssetNotes,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,hpFinanceMonth,month,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,hpFinanceSimulation,number,Oui,Non / validation programmée possible,0,${info.adjustable/100},0.01,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-planner.js,hpFinanceSummaryText,textarea,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,${id},${type},Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,"hf-${path.replaceAll('.','-')}",checkbox,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,${id},${type},Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-planner.js,hpFinanceTemplate,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-planner.js,hpScenario-${key},${type},Oui,Non / validation programmée possible,,,0.01,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-recurring-payments.js,hpRpName,input,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-recurring-payments.js,hpRpCategory,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-recurring-payments.js,hpRpAmount,number,Oui,Non / validation programmée possible,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-recurring-payments.js,hpRpFrequency,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-recurring-payments.js,hpRpDue,date,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
budget-recurring-payments.js,hpRpReminder,select,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
budget-recurring-payments.js,hpRpAutopay,checkbox,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-recurring-payments.js,hpRpNotes,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-savings-goals.js,hpSavingsName,input,Oui,Oui,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
budget-savings-goals.js,hpSavingsTarget,number,Oui,Oui,0.01,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-savings-goals.js,hpSavingsCurrent,number,Oui,Oui,0,,0.01,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
budget-savings-goals.js,hpSavingsDate,date,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
budget-savings-goals.js,hpSavingsNotes,input,Oui,Non / validation programmée possible,,,,,"Valeur transmise, requis vides, négatifs, cents, dates impossibles; créations répétées",À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
driver-license-reminder.js,hpBirthDate,date,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
driver-license-reminder.js,hpLicenceLead,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
equipment-profile.js,heBattery,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
equipment-profile.js,heBatteryRef,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heBatteryLink,url,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; format invalide, espaces, URL non HTTPS le cas échéant"
equipment-profile.js,heName,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heBrand,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heModel,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heSerial,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heInstalled,date,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
equipment-profile.js,heInstaller,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
equipment-profile.js,heWarranty,date,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
equipment-profile.js,heMaintenance,date,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
equipment-profile.js,heManual,url,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; format invalide, espaces, URL non HTTPS le cas échéant"
equipment-profile.js,heInvoice,url,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; format invalide, espaces, URL non HTTPS le cas échéant"
equipment-profile.js,heNotes,textarea,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
leisure-auto-reminders.js,hpLeisureInsurance,date,Non — ancien module,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
leisure-auto-reminders.js,hpLeisureRegistrationRenewal,date,Non — ancien module,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
leisure-budget.js,hpLeisureType,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
leisure-budget.js,hpLeisureName,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
leisure-budget.js,hpLeisureBrand,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
leisure-budget.js,hpLeisureModel,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
leisure-budget.js,hpLeisureYear,number,Oui,Non / validation programmée possible,1900,2100,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
leisure-budget.js,hpLeisureRegistration,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
leisure-budget.js,hpLeisureNotes,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
